source	interaction	target
KLF4	upregulates-expression	CDKN1A
ESR1	upregulates-expression	IGF1
CREB1	upregulates-expression	BCL2
WT1	downregulates-expression	CDH1
CEBPB	upregulates-expression	TNF
EGR2	downregulates-expression	FASLG
TFDP1	upregulates-expression	CCNE1
NEUROG3	upregulates-expression	NEUROD1
TBX21	upregulates-expression	IFNG
IRF1	upregulates-expression	PSMB9
STAT1	upregulates-expression	PSMB9
HNF1A	upregulates-expression	G6PC1
SP1	upregulates-expression	TGFBR2
FOXA2	upregulates-expression	HHEX
NR5A1	upregulates-expression	MC2R
SP1	upregulates-expression	COL1A2
STAT1	upregulates-expression	CD86
SP1	upregulates-expression	AR
GABPA	upregulates-expression	BRCA1
ELF3	upregulates-expression	SPRR2A
TP53	upregulates-expression	DKK1
HIF1A	upregulates-expression	CP
SP1	upregulates-expression	VIM
TP53	downregulates-expression	TERT
SP1	upregulates-expression	TERT
HNF1A	upregulates-expression	UGT2B7
POU2F1	upregulates-expression	UGT2B7
JUN	upregulates-expression	MMP13
JUND	upregulates-expression	MMP13
EGR1	upregulates-expression	FN1
EGR1	upregulates-expression	SERPINE1
EGR1	upregulates-expression	TGFB1
FOXO4	upregulates-expression	CDKN1B
HNF4A	upregulates-expression	PKLR
TP53	upregulates-expression	ABCC1
SP1	upregulates-expression	TNFRSF8
CEBPD	upregulates-expression	TNF
SREBF1	upregulates-expression	ACLY
SREBF2	upregulates-expression	ACLY
JUN	upregulates-expression	EGFR
JUNB	upregulates-expression	EGFR
ESR2	upregulates-expression	TERT
STAT3	upregulates-expression	SOCS1
SP1	upregulates-expression	VEGFA
SP3	upregulates-expression	VEGFA
STAT1	downregulates-expression	MMP9
JUN	upregulates-expression	CXCL8
STAT1	upregulates-expression	FCGR1A
IRF1	upregulates-expression	SOCS1
SPI1	upregulates-expression	CD40
SPIB	upregulates-expression	CD40
SP1	upregulates-expression	PTGS2
TP53	upregulates-expression	CD82
STAT1	upregulates-expression	ICAM1
ESR1	upregulates-expression	PRL
SP1	downregulates-expression	EGFR
RELA	upregulates-expression	SERPINE1
CEBPD	upregulates-expression	PTGS2
EGR1	upregulates-expression	TH
SMAD4	upregulates-expression	TGFB1
SP1	upregulates-expression	LTF
SP1	upregulates-expression	VDR
HIF1A	upregulates-expression	ADM
STAT1	upregulates-expression	NOS2
BMAL1	upregulates-expression	PER1
CLOCK	upregulates-expression	PER1
BMAL1	upregulates-expression	DBP
ATF2	upregulates-expression	IFNB1
JUN	upregulates-expression	IFNB1
ETS1	upregulates-expression	CSNK2A1
SP1	upregulates-expression	CSNK2A1
TP53	upregulates-expression	MAPK8
JUNB	upregulates-expression	CDKN2A
NR1H3	upregulates-expression	ABCA1
TFAP2A	downregulates-expression	HGF
SPI1	upregulates-expression	SERPINB1
CEBPA	upregulates-expression	PPARG
ESR1	upregulates-expression	VEGFA
SPI1	downregulates-expression	MMP2
MYC	downregulates-expression	THBS1
MZF1	downregulates-expression	TERT
SP1	upregulates-expression	UTRN
PAX3	upregulates-expression	BCL2L1
HOXA5	upregulates-expression	PGR
ESR1	upregulates-expression	EGF
STAT3	upregulates-expression	CRP
CEBPB	upregulates-expression	CRP
SP1	upregulates-expression	SERPINE1
CDX2	upregulates-expression	GUCY2C
FOS	downregulates-expression	CDKN1A
PAX4	downregulates-expression	INS
TP53	upregulates-expression	CASP3
SP1	upregulates-expression	PGR
ESR1	upregulates-expression	PGR
PGR	upregulates-expression	ESR1
STAT3	upregulates-expression	IL10
ATF2	upregulates-expression	INS
CREB1	upregulates-expression	INS
TP53	downregulates-expression	VEGFA
MYC	downregulates-expression	GADD45A
ELK1	upregulates-expression	TNF
FOSL1	upregulates-expression	MMP1
JUN	upregulates-expression	MMP1
E2F1	upregulates-expression	TYMS
E2F1	downregulates-expression	MDM2
JUN	upregulates-expression	SPRR1B
JUN	upregulates-expression	CCL2
SP1	upregulates-expression	STAR
NFKB1	upregulates-expression	CSF1
HIF1A	upregulates-expression	BNIP3
SOX10	upregulates-expression	MPZ
IRF7	upregulates-expression	IFNA1
FOS	upregulates-expression	MMP9
ESR1	downregulates-expression	PTMA
SOX10	upregulates-expression	MITF
JUN	upregulates-expression	IL24
ETS1	upregulates-expression	PSEN1
ZEB1	downregulates-expression	CDH1
SP1	upregulates-expression	MYBL1
FOXO1	upregulates-expression	G6PC1
SP1	upregulates-expression	PTN
ATF3	downregulates-expression	SELE
RELA	upregulates-expression	EDN1
SP1	upregulates-expression	ALOX12
WT1	downregulates-expression	CCN2
STAT1	upregulates-expression	TAP1
NFKB1	upregulates-expression	IL6
CREB1	upregulates-expression	TG
SP1	upregulates-expression	CD44
JUN	upregulates-expression	ATF3
ATF2	upregulates-expression	ATF3
TP53	upregulates-expression	RRM2B
CEBPB	upregulates-expression	CDKN1A
ESR1	upregulates-expression	SP1
SP1	upregulates-expression	ESR1
EGR1	downregulates-expression	TGFBR2
ZIC2	downregulates-expression	DRD1
SMAD3	upregulates-expression	APOC3
SMAD4	upregulates-expression	APOC3
POU2F1	upregulates-expression	HPGDS
JUN	upregulates-expression	GCLC
HIF1A	upregulates-expression	TP53
TFAP2A	upregulates-expression	VEGFA
CEBPB	upregulates-expression	IL4
ESR1	upregulates-expression	APOA1
NR5A1	upregulates-expression	CYP11B1
ATF1	upregulates-expression	CGA
CREB1	upregulates-expression	CGA
ESR2	upregulates-expression	PGR
BMAL2	upregulates-expression	SERPINE1
ESR1	upregulates-expression	KRT19
ESR1	upregulates-expression	AKT1
ESR1	upregulates-expression	NOS3
SP1	downregulates-expression	POLB
NFKB1	upregulates-expression	CRP
NFKB1	upregulates-expression	IL1B
JUN	upregulates-expression	NQO1
NFE2L2	upregulates-expression	NQO1
