Dataset	TF	Method	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
ReplogleWeissman2022_K562_gwps	TCEA1	ulm	115	74615	4128485.0	0.4811347525995764	0.5188652474004236	0.0016935615716236897	0.001538873277131005	1.1005204891081592	0.24188042878213317	0.6036610060148755	False	-0.03787781144209043	1.4193117708726717
ReplogleWeissman2022_K562_gwps	TNRC6C	ulm	235	74615	8536928.0	0.4868639441330746	0.5131360558669255	0.003213205258514577	0.003139612558450234	1.023440057871558	0.24306704224492776	0.6036610060148755	False	-0.038337817656215856	1.4144179796812946
ReplogleWeissman2022_K562_gwps	BCL6	ulm	151	74615	5468071.0	0.4853232021507314	0.5146767978492687	0.0022297054131184754	0.002019634593264318	1.1040142709749399	0.2662748193298291	0.654109882266754	False	-0.02915285725435249	1.32322634816284
ReplogleWeissman2022_K562_gwps	NPAS2	ulm	183	74615	6649655.0	0.48699206015286484	0.5130079398471352	0.0025480563613497235	0.002446589481002166	1.0414727853346264	0.27132200302656084	0.6593416417634704	False	-0.029922652907456326	1.3044489604069591
ReplogleWeissman2022_K562_gwps	ELOB	ulm	396	74615	14522829.0	0.4915072117678832	0.5084927882321167	0.005730461872850931	0.005279225713562011	1.085473928142478	0.2796452124509181	0.6683196804022482	False	-0.013193795944211606	1.2742335776504001
ReplogleWeissman2022_K562_gwps	POLR2A	ulm	223	74615	8132708.0	0.4887695852160673	0.5112304147839327	0.0034605382406191617	0.002979769635746546	1.1613442190648289	0.28093083910713973	0.6683196804022482	False	-0.027703603326184163	1.2696467641157965
ReplogleWeissman2022_K562_gwps	KAT5	ulm	236	74615	8619169.0	0.48947132000767785	0.5105286799923221	0.0034114828102689686	0.003152930488570627	1.0820038128450955	0.28794074018349225	0.6747536341738101	False	-0.04694933730826989	1.2450005832701163
ReplogleWeissman2022_K562_gwps	SMAD4	ulm	158	74615	5744286.0	0.48725109570902786	0.5127489042909722	0.0022398621905049165	0.002113062201596833	1.0600076934849627	0.2896066482958388	0.6747536341738101	False	-0.009219773049510716	1.2392316619114316
ReplogleWeissman2022_K562_gwps	GATA2	ulm	327	74615	11989118.0	0.49137531888977076	0.5086246811102293	0.004428283319442108	0.004363374342825118	1.0148758670508577	0.2949154726449854	0.6801111920180276	False	-0.0009382987421675537	1.2210664971076863
ReplogleWeissman2022_K562_gwps	JUN	ulm	212	74615	7751836.0	0.4900524579634577	0.5099475420365424	0.004628130556832538	0.0028332019190933752	1.6335336093212658	0.3081789715480945	0.7035196724229227	False	-0.0452617443063657	1.1770745883132618
ReplogleWeissman2022_K562_gwps	SSRP1	ulm	314	74615	11532313.0	0.4922215568581137	0.5077784431418864	0.004483618446093557	0.0041906337999973306	1.069914160978803	0.31687112343654333	0.7161287389665879	False	-0.007190715015525262	1.1492601384423518
ReplogleWeissman2022_K562_gwps	POLR2H	ulm	43	74615	1540519.0	0.48014505469160296	0.5198549453083972	0.0007611733121226777	0.0005759597096091511	1.3215738868942992	0.32603758797025223	0.7284865111448448	False	-0.05958806598848596	1.1207426037397776
ReplogleWeissman2022_K562_gwps	DDIT3	ulm	262	74615	9621526.0	0.49217156978341237	0.5078284302165876	0.003726028232014418	0.003499071811103543	1.0648618928570366	0.33062865708902217	0.7284865111448448	False	-0.025530855770266453	1.1067594152919278
ReplogleWeissman2022_K562_gwps	AGO1	ulm	164	74615	5998480.0	0.49019764874322336	0.5098023512567766	0.002337180042330316	0.0021931290870431538	1.0656828438135286	0.3320093391500841	0.7284865111448448	False	-0.03473746202825356	1.1025921804911558
ReplogleWeissman2022_K562_gwps	HEY1	ulm	156	74615	5711255.0	0.4906601752242709	0.509339824775729	0.0020687002181528124	0.002086370384239879	0.9915306667404098	0.34322539384417666	0.7450566688204261	False	-0.01788542683847863	1.0693679227180963
ReplogleWeissman2022_K562_gwps	POLR2K	ulm	18	74615	635367.0	0.47307065156693245	0.5269293484330675	0.0003205689503001966	0.00024118017498961586	1.329167914875254	0.34615464701833953	0.7450566688204261	False	-0.10005011247565884	1.0608696470794026
ReplogleWeissman2022_K562_gwps	ERCC2	ulm	124	74615	4535410.0	0.49019482807443804	0.509805171925562	0.0020271615480848396	0.0016591070257830584	1.2218389269541357	0.35274794262989073	0.7520852361731633	False	0.0005251808393673119	1.0420015206407345
ReplogleWeissman2022_K562_gwps	SUPT5H	ulm	129	74615	4725716.0	0.4909663923385524	0.5090336076614477	0.001836532121603408	0.001725891041421385	1.0641066426133732	0.36125258140781114	0.7602413715539595	False	0.005650797483694098	1.0181778938154589
