Dataset	TF	Top_Method	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Method	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NadigOConner2024_hepg2	NANOG	zscore	0.609420794521343	0.07879374746998431	True	4951	28	4923	ulm	0.5967107744987087	0.11199052971960373	False	0.012710020022634327	0.7790930543462841	0.4359249013010086	0.7268546376853405	False
NadigOConner2024_hepg2	MYBL2	zscore	0.6090141114337265	5.726348497092708e-05	True	5059	136	4923	viper	0.6056684709227993	0.00011462133458038609	True	0.003345640510927228	0.5425482519401535	0.5874408766118693	0.7989195921921421	False
NadigOConner2024_hepg2	POLR2D	z-aggregate	0.602344396387291	0.003096140268801869	True	5005	82	4923	ulm	0.5799433222851424	0.02521847304060689	True	0.022401074102148533	1.9992291000888371	0.04558357135589771	0.1291534521750435	False
NadigOConner2024_hepg2	GTF2F2	z-aggregate	0.5933834382828899	0.010579653266321733	True	4998	75	4923	ulm	0.5700155731599973	0.06187315035746287	True	0.023367865122892573	2.378235914456749	0.01739569245426668	0.06571706038278524	True
NadigOConner2024_hepg2	NFYB	viper	0.587225972280817	0.0051651220009369956	True	5027	104	4923	ulm	0.5794582727855123	0.011203816564881642	True	0.007767699495304647	0.72196221808859	0.47031770673757334	0.7268546376853405	False
NadigOConner2024_hepg2	NELFB	viper	0.5848572692359533	0.005638140335187597	True	5030	107	4923	ulm	0.5838568155197519	0.0063322438473870655	True	0.0010004537162013882	0.19724291261552118	0.843637450759445	0.9252797847039074	False
NadigOConner2024_hepg2	NELFE	z-aggregate	0.580875106266128	0.06077435742243857	True	4977	54	4923	ulm	0.5722007809149796	0.10810894316411851	False	0.008674325351148426	0.7280321043077279	0.4665939339768139	0.7268546376853405	False
NadigOConner2024_hepg2	CDK9	z-aggregate	0.5695214235738306	0.08258454355760486	True	4986	63	4923	ulm	0.5625263986019623	0.11948372224494608	False	0.006995024971868324	0.7363324845339683	0.4615283816290555	0.7268546376853405	False
NadigOConner2024_hepg2	ZBTB17	viper	0.5660558426540375	0.02044253933352079	True	5050	127	4923	z-aggregate	0.5630872923334309	0.025068174319809264	True	0.002968550320606611	0.2998522573627094	0.7642898526025619	0.896063965120245	False
NadigOConner2024_hepg2	SP1	z-aggregate	0.5599294063645069	0.0964102251713083	True	5000	77	4923	viper	0.5583228471711104	0.11407857417506612	False	0.001606559193396584	0.06893290512915158	0.945043026300006	0.9736806937636426	False
