Dataset	TF	Comparison_Type	N_Available_Priors	N_MWU_Significant_Options	Top_Prior	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Prior	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
ReplogleWeissman2022_K562_gwps	ATF4	top2_delong	3	3	dorothea	0.6712295934665263	1.2090745817510096e-07	True	74718	103	74615	causalpath	0.5925076883340956	0.011854947313357666	True	0.07872190513243071	2.8794793438854787	0.003983323907052786	0.018920788558500733	True
ReplogleWeissman2022_K562_gwps	MAX	top2_delong	3	1	causalpath	0.662974946030773	2.0508735366877595e-14	True	74824	209	74615	collectri	0.551482554625707	0.10171841227934236	False	0.11149239140506595	5.279330624465485	1.2965666740761427e-07	2.463476680744671e-06	True
ReplogleWeissman2022_K562_gwps	STAT5B	top2_delong	3	2	causalpath	0.6433740821933545	7.184791512126826e-07	True	74741	126	74615	collectri	0.5844710785205324	0.020568913866174415	True	0.058903003672822085	2.29410322460443	0.021784570191777958	0.08278136672875624	True
ReplogleWeissman2022_K562_gwps	GATA1	top2_delong	3	1	collectri	0.6248446372538452	0.04528743487481313	True	74661	46	74615	causalpath	0.584342232154043	0.1680699332723609	False	0.040502405099802186	0.8161498175669594	0.4144144541341228	0.4631690957969608	False
ReplogleWeissman2022_K562_gwps	MYC	top2_delong	3	3	collectri	0.6171771556575456	0.0018883695384883422	True	74713	98	74615	dorothea	0.5984863797425424	0.011066778975943147	True	0.018690775915003233	1.6894768983222161	0.09112807534858917	0.19238149240257715	False
ReplogleWeissman2022_K562_gwps	HSF1	top2_delong	3	2	dorothea	0.6120238878665468	1.389336407359036e-07	True	74849	234	74615	collectri	0.5733626347443944	0.0025731463115507376	True	0.038661253122152406	2.021868133219419	0.04318997666689921	0.13676825944518084	False
ReplogleWeissman2022_K562_gwps	NRF1	top2_delong	3	1	dorothea	0.6024785335363736	0.004783828851426236	True	74724	109	74615	collectri	0.5689176303802947	0.1184753761184313	False	0.03356090315607885	1.0590046126437986	0.28959767902771993	0.39302542153761993	False
ReplogleWeissman2022_K562_gwps	TFDP1	top2_delong	3	3	dorothea	0.6011153551192416	7.449128474469927e-08	True	74930	315	74615	causalpath	0.5802631285040989	1.3667265246562129e-05	True	0.020852226615142744	1.7059709005586403	0.08801349763380462	0.19238149240257715	False
ReplogleWeissman2022_K562_gwps	SPI1	top2_delong	3	1	causalpath	0.600153389023001	0.01591248111888134	True	74697	82	74615	dorothea	0.5528122410487657	0.5279908929514303	False	0.047341147974235276	1.4724280585124754	0.14090532085719337	0.2433819178442431	False
ReplogleWeissman2022_K562_gwps	ESRRA	top2_delong	3	1	causalpath	0.5956466396784539	3.23688673817566e-05	True	74819	204	74615	collectri	0.532066404930933	0.4504079790453659	False	0.06358023474752084	2.8852100323498693	0.00391152608443038	0.018920788558500733	True
ReplogleWeissman2022_K562_gwps	ATF6	top2_delong	3	2	dorothea	0.5907785952139618	0.006731267732162733	True	74742	127	74615	causalpath	0.5720636801723915	0.03671854102185393	True	0.0187149150415703	1.2093517430671772	0.22652773980524832	0.33107900433074755	False
ReplogleWeissman2022_K562_gwps	SP1	top2_delong	3	2	causalpath	0.5746831025320843	0.0036090830749614736	True	74812	197	74615	collectri	0.5622830019820868	0.03717156070100238	True	0.012400100549997517	0.8965395787167736	0.3699646517305013	0.4393330239299703	False
ReplogleWeissman2022_K562_gwps	HIF1A	top2_delong	3	1	causalpath	0.5634482524696736	0.03671854102185393	True	74777	162	74615	collectri	0.5244559934412288	0.6275943857390899	False	0.03899225902844472	1.7332504977787742	0.08305115508692794	0.19238149240257715	False
ReplogleWeissman2022_K562_gwps	JUN	top2_delong	3	1	collectri	0.55420207379011	0.07434504510722295	True	74827	212	74615	dorothea	0.5442360089971287	0.24361798558508135	False	0.009966064792981344	0.533236083804433	0.5938701661092882	0.6268629531153598	False
ReplogleWeissman2022_K562_gwps	IRF1	top2_delong	3	1	collectri	0.5511852662961689	0.04528743487481313	True	74888	273	74615	dorothea	0.5273356588239655	0.5632921861220294	False	0.023849607472203438	1.253084670047152	0.21017489442615545	0.33107900433074755	False
ReplogleWeissman2022_K562_gwps	WT1	top2_delong	3	1	causalpath	0.5434235004219763	0.06372392870153189	True	74896	281	74615	dorothea	0.5372885915195036	0.24361798558508135	False	0.006134908902472702	0.424312933464154	0.6713376081669532	0.6713376081669532	False
ReplogleWeissman2022_K562_gwps	E2F3	top2_delong	3	1	causalpath	0.5386859645748608	0.04928386579803577	True	75000	385	74615	collectri	0.5274153816430838	0.34308617698000426	False	0.011270582931777073	0.9152226079679223	0.360074778319306	0.4393330239299703	False
ReplogleWeissman2022_K562_gwps	USF2	top2_delong	3	1	causalpath	0.5333730929884517	0.099867424467081	True	75020	405	74615	dorothea	0.5075385001029978	0.8201639626020572	False	0.025834592885453866	1.5709941304524193	0.1161840121755231	0.2207496231334939	False
ReplogleWeissman2022_rpe1	SRF	top2_delong	3	3	dorothea	0.8823972662753	1.5272855840942066e-36	True	11508	95	11413	collectri	0.8583821772955125	3.694566073370298e-32	True	0.024015088979787547	1.3994201506672217	0.16168702769799226	0.2515131541968768	False
ReplogleWeissman2022_rpe1	MYC	top2_delong	3	3	collectri	0.8249181370081853	3.19559403510471e-24	True	11499	86	11413	dorothea	0.8179432267161681	2.496712946713575e-23	True	0.0069749102920171335	0.6152151081153214	0.5384126716118174	0.5798290309665726	False
ReplogleWeissman2022_rpe1	NRF1	top2_delong	3	3	dorothea	0.7754546701956888	2.729557587217683e-11	True	11466	53	11413	collectri	0.7385288871181325	1.4879452749580246e-08	True	0.03692578307755634	0.9259070984028128	0.35449426204110035	0.45117451532503683	False
ReplogleWeissman2022_rpe1	HSF1	top2_delong	3	1	dorothea	0.7072636467186542	0.0043069796679251916	True	11432	19	11413	causalpath	0.524406609268286	0.46419436149060367	False	0.1828570374503682	2.6198974797081975	0.008795620460344874	0.03078467161120706	True
ReplogleWeissman2022_rpe1	ATF4	top2_delong	3	2	dorothea	0.6667834925085429	0.0001771303556237312	True	11462	49	11413	collectri	0.601660834315326	0.03472310246733541	True	0.06512265819321683	1.448656111352902	0.14743364278846635	0.2515131541968768	False
ReplogleWeissman2022_rpe1	YY1	top2_delong	3	3	collectri	0.6464996057127839	1.1625173855415342e-05	True	11499	86	11413	dorothea	0.5851324173372267	0.013954058136602181	True	0.06136718837555721	2.627625112599203	0.0085983216290663	0.03078467161120706	True
ReplogleWeissman2022_rpe1	NFYB	top2_delong	3	1	dorothea	0.6460609542527009	2.8911842850776458e-05	True	11492	79	11413	collectri	0.5596815534583591	0.11586277579265317	False	0.08637940079434181	2.3310705826656695	0.019749638168437167	0.046082489059686725	True
ReplogleWeissman2022_rpe1	TFDP1	top2_delong	3	3	dorothea	0.6440449513659966	7.50691765654384e-10	True	11580	167	11413	collectri	0.5875057910115106	0.00038287798228171604	True	0.05653916035448603	3.9972776058769317	6.40751419329952e-05	0.0004485259935309664	True
ReplogleWeissman2022_rpe1	MAX	top2_delong	3	1	causalpath	0.6141030947769784	0.000442240653325971	True	11500	87	11413	collectri	0.5234976045666819	0.48411548604633464	False	0.09060549021029651	2.4430069229861595	0.014565457872238032	0.040783282042266486	True
ReplogleWeissman2022_rpe1	STAT5A	top2_delong	3	2	collectri	0.5900556613649256	0.008506990091492396	True	11508	95	11413	causalpath	0.5533099374213155	0.06773912353985526	True	0.03674572394361009	1.076086119393317	0.281888742896636	0.3946442400552904	False
ReplogleWeissman2022_rpe1	FOXO1	top2_delong	3	1	collectri	0.5884382856257035	0.03472310246733541	True	11478	65	11413	dorothea	0.532415801144444	0.3269590953419644	False	0.05602248448125957	1.6587603272871145	0.09716409760078111	0.19432819520156222	False
ReplogleWeissman2022_rpe1	GABPA	top2_delong	3	3	causalpath	0.5883530302574571	0.013563569530000253	True	11480	67	11413	collectri	0.5863672089042216	0.03472310246733541	True	0.0019858213532355506	0.05058866055231393	0.9596532988246685	0.9596532988246685	False
ReplogleWeissman2022_rpe1	CLOCK	top2_delong	3	1	causalpath	0.5652865490769635	1.8042038296422157e-08	True	12128	715	11413	dorothea	0.5077367301059582	0.3980877337381151	False	0.057549818971005307	4.970170893773719	6.689391556647854e-07	9.365148179306996e-06	True
ReplogleWeissman2022_rpe1	MYBL2	top2_delong	3	1	causalpath	0.5178266959678508	0.06930184882397744	True	12301	888	11413	dorothea	0.5090375247761562	0.3269590953419644	False	0.008789171191694645	0.8588329485884745	0.39043268663356945	0.4555048010724977	False
SunshineHein2023	IRF9	top2_delong	3	3	collectri	0.8359791825457317	6.344766380797703e-47	True	3236	164	3072	dorothea	0.7857120172764229	1.5075816272549007e-34	True	0.050267165269308745	4.644899911372671	3.402413666353934e-06	2.381689566447754e-05	True
SunshineHein2023	ATF4	top2_delong	3	3	dorothea	0.6707579730308217	5.8098390838406686e-12	True	3218	146	3072	causalpath	0.6648774168807077	7.430975875184117e-11	True	0.005880556150114069	0.39753723637647104	0.690971333301666	0.9656208411093653	False
SunshineHein2023	SREBF2	top2_delong	3	2	causalpath	0.6341192336309524	0.00028863104878362397	True	3142	70	3072	collectri	0.5713030133928572	0.04105062398211158	True	0.06281622023809519	2.9587359059854252	0.003089037053442194	0.010811629687047679	True
SunshineHein2023	STAT1	top2_delong	3	3	collectri	0.6266859064054727	3.9026602630645794e-09	True	3273	201	3072	causalpath	0.5991251425165838	7.630332747237848e-06	True	0.02756076388888895	1.7939891103269887	0.0728149069719888	0.1699014496013072	False
SunshineHein2023	SREBF1	top2_delong	3	1	collectri	0.5827526745495495	0.07271970388573744	True	3109	37	3072	causalpath	0.5774475647522522	0.12449572624584858	False	0.005305109797297258	0.21768441610442288	0.8276750066651702	0.9656208411093653	False
SunshineHein2023	RELA	top2_delong	3	3	collectri	0.5637422937925171	0.010413465185333424	True	3219	147	3072	dorothea	0.5583900226757369	0.019927389897523712	True	0.005352271116780161	0.481957308403411	0.629836273895563	0.9656208411093653	False
SunshineHein2023	ATF6	top2_delong	3	1	dorothea	0.5412303302304965	0.09730951475592137	True	3213	141	3072	causalpath	0.541148372857565	0.12449572624584858	False	8.195737293148486e-05	0.004972934682025555	0.9960321885493861	0.9960321885493861	False
WesselsSatija2023	MYB	top2_delong	3	3	dorothea	0.7746992344148742	0.0014798678161083631	True	435	13	422	causalpath	0.7081662413415968	0.010564237607346011	True	0.06653299307327742	0.9368844611577863	0.34881799302383754	0.34881799302383754	False
WesselsSatija2023	FLI1	top2_delong	3	1	collectri	0.6069751623661577	2.403023288383872e-05	True	638	216	422	causalpath	0.5184581797437247	0.29231764702621965	False	0.08851698262243302	3.4624729232288582	0.0005352357662390444	0.0010704715324780889	True
