Dataset	TF	Prior	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
ReplogleWeissman2022_K562_gwps	NFKB1	ensemble	318	74615	12395348.0	0.5224027576359483	0.47759724236405166	0.0038878990810107313	0.00424379112006726	0.9161381818785445	0.9163536790004884	0.9999973175522411	False	0.22547810109749788	0.08735287638428722
ReplogleWeissman2022_K562_gwps	MYCN	ensemble	219	74615	8612790.0	0.5270764352901974	0.4729235647098025	0.0028401145019808765	0.002926477269690248	0.970489171877794	0.9171275804720544	0.9999973175522411	False	0.14979301538157236	0.0865086882983408
ReplogleWeissman2022_K562_gwps	TP63	ensemble	149	74615	5928859.0	0.5332841921865576	0.4667158078134423	0.001823329162443676	0.0019929377775399926	0.9148951778586509	0.9201383929089579	0.9999973175522411	False	0.30907558553812986	0.0832311931771147
ReplogleWeissman2022_K562_gwps	SMAD3	ensemble	146	74615	5830719.0	0.535233284283982	0.464766715716018	0.002120338229846146	0.0019528898757373498	1.0857438794625185	0.9296659126135233	0.9999973175522411	False	0.22734877220758726	0.07292999112363538
ReplogleWeissman2022_K562_gwps	FOXA2	ensemble	85	74615	3509284.0	0.5533162784647465	0.4466837215352535	0.0009931623524326869	0.0011378848728246318	0.8728144438437848	0.9556042648676548	0.9999973175522411	False	0.3473563605434144	0.04541140051443221
ReplogleWeissman2022_K562_gwps	NR3C1	ensemble	157	74615	6341548.0	0.5413392143363533	0.4586607856636466	0.0020045164214592772	0.002099716471406409	0.9546605214353698	0.9634684657681678	0.9999973175522411	False	0.24135565623476554	0.0372155204975995
ReplogleWeissman2022_K562_gwps	SREBF1	ensemble	126	74615	5172964.0	0.5502281021412563	0.4497718978587437	0.0015425445010803604	0.0016858217042854658	0.9150104647241843	0.9744972721253594	0.9999973175522411	False	0.4728094780184057	0.025833559294099386
ReplogleWeissman2022_K562_gwps	CLOCK	ensemble	183	74615	7467678.0	0.5469005375133335	0.4530994624866665	0.002126280309877961	0.002446589481002166	0.8690793148538345	0.985922728578751	0.9999973175522411	False	0.2394401709553065	0.014177296031867834
ReplogleWeissman2022_K562_gwps	EGR1	ensemble	373	74615	15813215.0	0.5681790294737292	0.43182097052627083	0.00553145276303733	0.004974129194004374	1.1120444498515905	0.9999973175522411	0.9999973175522411	False	0.947831377124875	2.6824513566865514e-06
ReplogleWeissman2022_rpe1	MYC	causalpath	86	11413	186499.0	0.1900107792215731	0.8099892207784268	0.03404253739638387	0.0074789112096704065	4.551803924663001	1.6940435844430214e-23	3.7692469753857225e-22	True	-3.685917751813438	52.43233881424928
