Dataset	TF	Top_Weight	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Weight	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NadigOConner2024_hepg2	ATR	CORRELATION	0.6562472069876093	3.4690475560646723e-07	True	5023	100	4923	UNIFORM	0.6534257566524477	6.059863723615837e-07	True	0.0028214503351615683	1.0257964121872634	0.30498755760354634	0.4427238739406318	False
NadigOConner2024_hepg2	POLR2D	CORRELATION	0.6434357396590419	2.1313494203658432e-05	True	5005	82	4923	UNIFORM	0.602344396387291	0.003096140268801869	True	0.0410913432717509	3.156702321778605	0.0015956414875121286	0.014360773387609159	True
NadigOConner2024_hepg2	POLR2B	UNIFORM	0.6418989185594912	6.059863723615837e-07	True	5040	117	4923	SPECIFICITY	0.6380707337441036	1.4065023711649148e-06	True	0.003828184815387603	2.7225183284082863	0.00647864396106658	0.03508622536622843	True
NadigOConner2024_hepg2	SRF	NONZERORATE	0.640552886545829	0.0033306260251614235	True	4966	43	4923	UNIFORM	0.6092428043025381	0.02335548556263616	True	0.031310082243290904	2.004835328489847	0.044980654341315734	0.1265080903349505	False
NadigOConner2024_hepg2	BRCA1	CORRELATION	0.6300085140957987	0.0037585460003540794	True	4970	47	4923	SPECIFICITY	0.4274551497313954	0.9970974545388351	False	0.2025533643644033	3.7670468584468573	0.0001651900047465333	0.0037167751067969995	True
NadigOConner2024_hepg2	CDC6	CORRELATION	0.6260839462940553	0.0005783986636636598	True	4994	71	4923	UNIFORM	0.5608597757579398	0.10298108548791834	False	0.06522417053611551	3.308446644902871	0.0009381505888857325	0.011059123900983263	True
NadigOConner2024_hepg2	MYBL2	CORRELATION	0.6243711988146874	2.354380751778401e-06	True	5059	136	4923	SPECIFICITY	0.6192795521621202	7.517378970989349e-06	True	0.005091646652567228	0.5596764757511627	0.5757001308506564	0.700175834818366	False
NadigOConner2024_hepg2	DNMT1	CORRELATION	0.6121961128203603	0.0009771115078302858	True	5005	82	4923	UNIFORM	0.535408708748879	0.25918467423583286	False	0.07678740407148132	2.3608078162121395	0.01823517789761834	0.06838191711606877	True
NadigOConner2024_hepg2	NELFCD	CORRELATION	0.6087419733280272	0.01320961126661769	True	4972	49	4923	SPECIFICITY	0.5715778084542775	0.11406315016133935	False	0.03716416487374963	1.1173577257398584	0.2638414027357384	0.41913299823568223	False
NadigOConner2024_hepg2	NFYC	CORRELATION	0.5996669464469816	0.0009289058041332597	True	5029	106	4923	UNIFORM	0.5773477592662858	0.011908238048307127	True	0.02231918718069581	1.657102399540471	0.09749877410320541	0.2580849902731908	False
