Dataset	TF	Weight	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
NadigOConner2024_hepg2	MAX	UNIFORM	45	4923	84823.0	0.38288757984065724	0.6171124201593428	0.01648346558260118	0.009057971014492754	1.81977460031917	0.0033766724714268544	0.012156020897136676	True	-1.1474714268987811	5.690864530311116
NadigOConner2024_hepg2	NFYB	UNIFORM	104	4923	223806.0	0.43712792387381055	0.5628720761261895	0.027339099988882107	0.02068828327034016	1.3214774581164457	0.013983942493490829	0.04840595478516057	True	-0.5744364423201398	4.269845572384991
NadigOConner2024_hepg2	NPM1	UNIFORM	47	4923	95082.0	0.41093261763066113	0.5890673823693389	0.014031720892794391	0.009456740442655936	1.4837798475997472	0.017648050582103458	0.05882683527367819	True	-0.36315152303333964	4.037129950308764
NadigOConner2024_hepg2	ELL	UNIFORM	226	4923	510900.5	0.45919595397439145	0.5408040460256085	0.0518051845567461	0.043892017867547095	1.1802871472685206	0.01887472561275823	0.06066876089815146	True	-0.1849922256767786	3.9699315210251247
NadigOConner2024_hepg2	MCM5	UNIFORM	44	4923	88814.0	0.41001421897217144	0.5899857810278286	0.013479228645222966	0.008858465874773505	1.521621106382329	0.019563183711932684	0.060713328761170395	True	-0.516344162795804	3.9341058611617625
NadigOConner2024_hepg2	NELFE	UNIFORM	54	4923	111421.0	0.419124893733872	0.580875106266128	0.013875321882931745	0.0108499095840868	1.2788421668768757	0.020258119140812856	0.06077435742243857	True	-0.5053176378430596	3.899199620561321
NadigOConner2024_hepg2	TBP	UNIFORM	75	4923	159383.0	0.4316690364953619	0.5683309635046381	0.018882298069664936	0.015006002400960384	1.2583163433624713	0.020963324857839114	0.06086126571630711	True	-0.14675727954273227	3.8649808033958015
NadigOConner2024_hepg2	SRF	UNIFORM	43	4923	87442.0	0.41306822744686783	0.5869317725531322	0.013902806447031487	0.008658880386629078	1.6056124840920547	0.024655576776600935	0.06934380968419013	True	-0.5021765259363076	3.7027521656798252
NadigOConner2024_hepg2	CDK9	UNIFORM	63	4923	133512.5	0.4304785764261694	0.5695214235738306	0.019463201136943137	0.01263537906137184	1.5403733471237855	0.02869629535578222	0.07594396729163515	True	-0.2710379708877267	3.550987246228381
NadigOConner2024_hepg2	SUPT4H1	UNIFORM	7	4923	10121.0	0.2936943211166246	0.7063056788833754	0.0038451138653480643	0.0014198782961460446	2.7080587651665655	0.029363393264926176	0.07594396729163515	True	-1.4652323753607377	3.528006507495564
NadigOConner2024_hepg2	KAT5	UNIFORM	6	4923	8224.0	0.2784210169950572	0.7215789830049427	0.016017629855971712	0.0012172854534388314	13.158482926680762	0.029533765057858114	0.07594396729163515	True	-2.3531142247418626	3.5222210919341563
NadigOConner2024_hepg2	CDC6	UNIFORM	71	4923	153494.0	0.4391402242420601	0.5608597757579398	0.016710744009385093	0.014217060472567081	1.175400782857312	0.038903965628769153	0.09725991407192287	True	-0.37108193465447686	3.2466590893693947
