Dataset	TF	correlation_MWU-pvalue	correlation_MWU-adjusted-pvalue	correlation_ROC-AUC	nonzero-rate_MWU-pvalue	nonzero-rate_MWU-adjusted-pvalue	nonzero-rate_ROC-AUC	specificity_MWU-pvalue	specificity_MWU-adjusted-pvalue	specificity_ROC-AUC	uniform_MWU-pvalue	uniform_MWU-adjusted-pvalue	uniform_ROC-AUC	Top, Second	DeLongs-pvalue	DeLongs-adjusted-pvalue	Winner
ReplogleWeissman2022_rpe1	CCND1	0.3467781417811674	0.4474556668144095	0.5147244370454744	0.2160094003560167	0.3151612562571391	0.5293612547095418	0.1845766867842325	0.2881986863823982	0.5335582230789451	0.2118196145856881	0.3141990949687708	0.5298986535821724				
NadigOConner2024_hepg2	CCNH	0.0445924859966948	0.0971887515312579	0.5505408287629494	0.0657856817952112	0.1691631817591145	0.5448384284650281	0.0406935489860183	0.1140631501613393	0.5518188435235967	0.0474136375218386	0.1185340938045966	0.5496711862685355				
NadigOConner2024_jurkat	CCNH	1.51434601666003e-06	3.987777843871412e-05	0.5963400594955315	4.660759954960883e-06	7.923291923433502e-05	0.5914595205707255	3.905161761816083e-06	6.638774995087342e-05	0.5922431552106645	7.523745257837458e-06	0.0001065863911526	0.5893063168371006	correlation, specificity	0.4627104599766272	0.6915331102070797	
ReplogleWeissman2022_K562_essential	CCNH	0.9616177303618232	0.9980810892615924	0.4399980441557573	0.912977515093804	0.9992179015690524	0.4539141332907851	0.9085379109657216	0.9999997917412552	0.4548470195249872	0.8917873397361271	0.9999881318155772	0.4580921768803769				
ReplogleWeissman2022_K562_gwps	CCNH	0.2535777050945978	0.6394772029384604	0.5205389197112226	0.48873272272538	0.787374778840435	0.5008747586268516	0.4239313144556728	0.8119362463303564	0.5059407641217253	0.4488361861960264	0.7886027772090635	0.5039823584823551				
ReplogleWeissman2022_rpe1	CCNH	2.8152147085530497e-10	1.876809805702033e-09	0.7278308832881574	7.640604900740204e-10	4.85724168689913e-09	0.7219858226188021	3.2766625968103292e-09	1.944153140774129e-08	0.7131899672981857	1.5229844182059543e-09	9.681829515737853e-09	0.7178606456135194	correlation, nonzero-rate	0.4681628931903699	0.7373565567748327	
NadigOConner2024_hepg2	CCNK	0.0227393020339279	0.0536900186912187	0.5604087899894941	0.160783979748718	0.3177706085723704	0.529937379733924	0.206051010600134	0.3784610398777972	0.5247718084304744	0.2087615188277498	0.3613180133557208	0.5244856816479155	correlation, nonzero-rate	0.1158547245102765	0.2859350287078736	
NadigOConner2024_jurkat	CCNK	0.0120239084719048	0.0452327985371658	0.5427305004075706	0.0021560904872406	0.011182950665191	0.554055407664452	0.0075846119349154	0.0429794676311875	0.5459868182836586	0.0051154099130231	0.0289873228404642	0.5486308068200039	nonzero-rate, uniform	0.1669782128488156	0.3569676042448452	
ReplogleWeissman2022_K562_essential	CCNK	0.371505663213021	0.6699150189238728	0.5053702681758407	0.504958200542068	0.766074019023357	0.4997965785271464	0.5488705562524936	0.8127506313738847	0.4979886811948149	0.5273440934010574	0.8155985603347663	0.4988766320683825				
ReplogleWeissman2022_K562_gwps	CCNK	0.9013378528311062	0.9978923287310684	0.4861213088528459	0.8378316179399091	0.9749563930009988	0.489389933522846	0.892584780613495	0.9882189046010396	0.4866468717561905	0.8469960804731227	0.9741417727909524	0.4889803193583812				
ReplogleWeissman2022_rpe1	CCNK	0.8000898016585674	0.9276403497490636	0.4867431369460542	0.7283428538720456	0.8102814249326508	0.4904297350805212	0.8855026301057045	0.9851216759925964	0.4810587662684628	0.8521601806710369	0.9480282009965286	0.4835341404108184				
ReplogleWeissman2022_K562_gwps	CCNT1	0.9799312050311334	0.9999954393391224	0.4538264505268459	0.9764405038097966	0.9999837890165918	0.4553360990458088	0.9856096776300984	0.9999999998639296	0.4508083718644597	0.9893679056273336	0.99999988097155	0.4481809856251993				
ReplogleWeissman2022_K562_gwps	CCNT2	0.7990066644534626	0.9752342296223954	0.4861419557212864	0.7318518988549945	0.9001858410551989	0.4897740645991471	0.8354019802729796	0.9679918717064462	0.4838657395545499	0.8389913700839715	0.9741417727909524	0.4836245449954647				
NadigOConner2024_hepg2	CDC6	0.0001292891130542	0.0005783986636636	0.6260839462940553	0.4973871572533621	0.6782552144364029	0.5002274463355391	0.0598691772551122	0.1456277284583812	0.5536930704683106	0.0389039656287691	0.1029810854879183	0.5608597757579398	correlation, uniform	0.0009381505888857	0.0110591239009832	correlation
