Dataset	TF	CausalPath_MWU-pvalue	CausalPath_MWU-adjusted-pvalue	CausalPath_ROC-AUC	CollecTRI_MWU-pvalue	CollecTRI_MWU-adjusted-pvalue	CollecTRI_ROC-AUC	DoRothEA_MWU-pvalue	DoRothEA_MWU-adjusted-pvalue	DoRothEA_ROC-AUC	Ensemble_MWU-pvalue	Ensemble_MWU-adjusted-pvalue	Ensemble_ROC-AUC	Best3_Top, Second	Best3_DeLongs-pvalue	Best3_DeLongs-adjusted-pvalue	Best3_Winner	Best4_Top, Second	Best4_DeLongs-pvalue	Best4_DeLongs-adjusted-pvalue	Best4_Winner
NadigOConner2024_hepg2	FOXO1	0.8383027389318238	0.9314474877020265	0.4568306465015788	0.3810195132821516	0.7224418605217579	0.5132402636973021	0.3479453383100188	0.7253899937716413	0.517090465902166	0.2011696967687153	0.3688111107426448	0.5366138533414585								
NadigOConner2024_jurkat	FOXO1	0.8981075992982221	0.9999999809091804	0.4566334852594395	0.9509689782213712	0.9999999999727516	0.4435473347687088	0.886664174571792	0.9989523152766095	0.4587446056911706	0.81034479555111	0.943073684477585	0.4699992543503993								
ReplogleWeissman2022_K562_gwps	FOXO1	0.5212497888084494	0.8289689877573613	0.4988645335912757	0.9392813077363836	0.9974272934533978	0.4669992191801975	0.9930468763229438	0.9999995011210674	0.4475898015610569	0.8581222165595499	0.9999973175522412	0.477159782535858								
ReplogleWeissman2022_rpe1	FOXO1	0.486703889529904	0.5853600833535333	0.5011976895443119	0.8858548646836294	1.0	0.4567382674278319	0.5590423157002931	0.703311300397143	0.4946666756532699	0.843757799097745	0.9999999999778226	0.4637316420546072								
ReplogleWeissman2022_K562_gwps	FOXO3	0.581575277133143	0.8534806015070802	0.4969387446588176	0.5946864600376053	0.9409120818571264	0.4964378797970303	0.7754148514009591	0.9999995011210674	0.4887494768660301	0.4115439687577759	0.8463538722991419	0.5033236754300926								
NormanWeissman2019_filtered	FOXO4	0.1333230942669288	0.1777641256892383	0.522119796813977	0.8417295054300589	1.0	0.4800555790356766	0.7738891256362345	0.8194120153795424	0.4850313565542904	0.9764443992870288	1.0	0.460467067276373								
ReplogleWeissman2022_K562_gwps	FOXO4	0.4921651081392126	0.8060095249236381	0.500331897140246	0.5230405206230351	0.9037171005689472	0.4990235655660376	0.3712102088834833	0.8942275200343378	0.5055533993727528	0.4616243649892043	0.8821639084551679	0.5016279929805768								
NadigOConner2024_hepg2	GABPA	0.2138622843506049	0.3631623696519706	0.5254963015809317	0.0029203500586714	0.0318243614423234	0.5886159044405801	0.0921660694487139	0.2633316269963255	0.5426767338971379	0.0172379830919331	0.0684730995040675	0.5679736230634701	CollecTRI, DoRothEA	0.1902891198168483	0.2854336797252725		CollecTRI, Ensemble	0.4429699052646048	0.5315638863175257	
NadigOConner2024_jurkat	GABPA	0.0017955133375658	0.012718219474425	0.5771271985012443	0.0004254108354286	0.0038818738732868	0.5883489919749462	0.1018952604061738	0.3311595963200648	0.5336590890026005	0.003590485234201	0.022032523028052	0.5712027794088863	CollecTRI, CausalPath	0.7520088191214305	0.8460099215116094		CollecTRI, CausalPath	0.7520088191214305	0.8729922978357689	
ReplogleWeissman2022_K562_essential	GABPA	0.5743956413125809	0.8190456366864579	0.4947872052560551	0.5183320312590373	0.7983438979830814	0.4987228695965405	0.4337630124550664	0.5855800668143397	0.5046362763634358	0.6862809697231463	0.883488144930947	0.486511710475744								
ReplogleWeissman2022_K562_gwps	GABPA	0.1300746577495436	0.4692805318205778	0.5234286956289264	0.1679152128911583	0.6456050426677296	0.520024762693745	0.7422398553139002	0.9999995011210674	0.486470409935076	0.3816615920223594	0.843819083453071	0.5062652184495262								
ReplogleWeissman2022_rpe1	GABPA	0.0062483859632585	0.0129327058309304	0.5883530302574571	0.0013672458640161	0.0074221918332303	0.6059795650678528	0.0283890855422179	0.103117694528745	0.5673851891859375	0.0018760612868054	0.005548351465233	0.6025192533782503	CollecTRI, CausalPath	0.6678472125414636	0.7235011469199188		CollecTRI, Ensemble	0.8984917629810186	0.9616918589733152	
NadigOConner2024_hepg2	GATA1	0.2726317256983648	0.4430836382845	0.5391326426975421	0.3890071556655619	0.7224418605217579	0.5182409100142189	0.8080804024961081	0.9727557727085164	0.4436725573837091	0.5046037236045272	0.7145747553307669	0.4992585821653463								
NadigOConner2024_jurkat	GATA1	0.8485536417372159	0.9746899938873426	0.4473539342337052	0.4509975318481985	0.8230704956229623	0.5062940399295361	0.537874886870086	0.7769303921456798	0.4951425006291419	0.3245213306497	0.5920321572663446	0.523257277074071								
ReplogleWeissman2022_K562_essential	GATA1	1.2444350087794142e-05	0.000119776869595	0.6193571473300948	0.0001100484380204	0.0006236078154491	0.6046053514398433	0.9999184045846164	0.9999184045846164	0.393262839608885	0.9837349069910072	0.9999748558123746	0.4394746965102027	CausalPath, CollecTRI	0.6804254559543248	0.7270145004879384		CausalPath, CollecTRI	0.6804254559543248	0.861404645491466	
ReplogleWeissman2022_K562_gwps	GATA1	0.1094437534050036	0.4339348819215935	0.5523472666936652	0.1034172367027707	0.5796180866535	0.5537448758700461	0.4230195976338331	0.9252298752282914	0.508267366685216	0.5805670091168856	0.9539338564325702	0.4913425147641954								
ReplogleWeissman2022_rpe1	GATA1	0.6003283031027726	0.7030160391598259	0.4908102328485061	0.4368226752652115	0.9747683719290506	0.5057554981161834	0.0528872054049197	0.1586616162147592	0.5585324848856568	0.0826798370532944	0.1709154313494696	0.5502017983878034								
GasperiniShendure2019_lowMOI	GATA2	0.4275041760070989	0.5557554288092286	0.5140018066847335	0.5406374861557686	0.7337223026399716	0.4923215898825655	0.2140087279886293	0.4823729925184915	0.5604336043360434	0.1694534851472629	0.4895322904254263	0.57289972899729								
ReplogleWeissman2022_K562_gwps	GATA2	0.411936116813034	0.7886027772090635	0.503556318971536	0.3305838836898068	0.8473586903773209	0.5070123268865805	0.6860081704502632	0.9999995011210674	0.4922475230136515	0.6354792929286637	0.9640112170735534	0.4944580139312488								
WesselsSatija2023	GATA2	0.0933008323649655	0.124401109819954	0.5587123121911868	0.049911363131072	0.0998227262621441	0.5731572047998386	0.1193454540601877	0.2386909081203754	0.5523847937884441	0.1317552603621456	0.225866160620821	0.5497126147020268	CollecTRI, CausalPath	0.8142731409610333	0.8142731409610333		CollecTRI, CausalPath	0.8142731409610333	0.8142731409610333	
ReplogleWeissman2022_K562_gwps	HIF1A	0.0021461412228372	0.0292995633538924	0.5648425704625307	0.1385958355887543	0.627925739165579	0.5246726612247397	0.3107109096328447	0.8473933899077585	0.5112127025727955	0.5386868993419357	0.9174275484590948	0.497794770356141	CausalPath, CollecTRI	0.0852389358186573	0.1782214997840745		CausalPath, CollecTRI	0.0852389358186573	0.2844221729469842	
