Dataset	TF	z-aggregate_MWU-pvalue	z-aggregate_MWU-adjusted-pvalue	z-aggregate_ROC-AUC	viper_MWU-pvalue	viper_MWU-adjusted-pvalue	viper_ROC-AUC	ulm_MWU-pvalue	ulm_MWU-adjusted-pvalue	ulm_ROC-AUC	zscore_MWU-pvalue	zscore_MWU-adjusted-pvalue	zscore_ROC-AUC	Top, Second	DeLongs-pvalue	DeLongs-adjusted-pvalue	Winner
ReplogleWeissman2022_K562_gwps	ATF4	0.0258487531631877	0.1737648515870974	0.5553805326891637	0.0097231324409416	0.0955403448544701	0.5665161420860091	0.0483911078789452	0.2734097595160406	0.5472687302912231	0.0380456102940893	0.2323867007152486	0.5504900560742556	viper, z-aggregate	0.1885740996209578	0.6286359597189406	
ReplogleWeissman2022_rpe1	ATF4	0.4778833687404365	0.5853600833535333	0.5022933031970345	0.6157661049120773	0.7081759006144605	0.487834317114211	0.7685131323966399	0.8549708597912619	0.4696667066020309	0.8428266969443354	0.9495136206081756	0.4584174509197353				
SunshineHein2023	ATF4	1.3156714614669502e-11	1.2498878883936028e-10	0.6630201644549086	8.596088231737517e-13	8.16628382015064e-12	0.672550567208904	1.3366406527881482e-10	1.2698086201487408e-09	0.6544797017694064	2.5950617279259216e-10	2.465308641529626e-09	0.651951341324201	viper, z-aggregate	0.3611438748193815	0.6149676642200345	
ReplogleWeissman2022_K562_gwps	ATF6	0.0024706033212901	0.0310197972561979	0.5720636801723915	0.0008539973342628	0.012062712346462	0.5804206475128759	0.0001295417781019	0.0026614947137308	0.5936575206796463	0.0001295417781019	0.0024397034875865	0.5936575206796463	ulm, zscore	1.0	1.0	
SunshineHein2023	ATF6	0.0359856312892904	0.0854658743120647	0.5447429539745864	0.0211191267042779	0.0668772345635468	0.5505088283096926	0.0241290755061634	0.0654932049453009	0.5491143986406619	0.0235245551779048	0.0638523640543131	0.5493822030141844	viper, zscore	0.8920097673659335	0.8920097673659335	
ReplogleWeissman2022_K562_gwps	ATM	0.659788574321435	0.879855710281378	0.4904703117026376	0.7750332423357427	0.936671191272074	0.4825195834342788	0.8449990639589738	0.9650178600966016	0.4765111332188997	0.787044265345604	0.9614702917194946	0.481578341469114				
TianKampmann2021_CRISPRa	ATM	0.898495306320028	0.898495306320028	0.4659236056200961	0.9758048340470532	0.9758048340470532	0.4471443342862356	0.9506735103425388	0.9506735103425388	0.4557812785110394	0.7382348048852174	0.7382348048852174	0.4829237880907487				
NadigOConner2024_hepg2	ATR	6.946884341895037e-08	6.059863723615837e-07	0.6534257566524477	2.1455328580402074e-06	2.4137244652952332e-05	0.6340524070688606	6.339091670984837e-07	6.339091670984836e-06	0.6412837700589071	6.339091670984837e-07	6.339091670984836e-06	0.6412837700589071	z-aggregate, ulm	0.1655929738836419	0.351885069502739	
NadigOConner2024_jurkat	ATR	0.0113005757904191	0.0513495959420933	0.5589495927554815	0.0239621831415	0.088555894218587	0.5511402447062206	0.0661990492701938	0.2084044143691286	0.5389029363947575	0.0661990492701938	0.2164199687679412	0.5389029363947575	z-aggregate, viper	0.2847644248948211	0.8068984517753035	
ReplogleWeissman2022_K562_essential	ATR	0.0721934547969543	0.2416911312767601	0.5361025574006157	0.2409643947801013	0.4757502153350719	0.517393074081032	0.1747228925175427	0.4982838045870661	0.5231426650003949	0.1747228925175427	0.4982838045870661	0.5231426650003949				
